file,line,layer,category,severity,snippet
/Users/zhangtiancheng/Documents/项目/新项目/openwork/packages/app/src/app/pages/proto-v1-ux.tsx,104,app_ui,ui_literal_or_error,P3,    description: \"Create a one-page $pdf that summarizes this app.\";
/Users/zhangtiancheng/Documents/项目/新项目/openwork/packages/app/src/app/pages/proto-v1-ux.tsx,109,app_ui,ui_literal_or_error,P3,    description: \"Summarize last week's PRs by teammate and theme.\";
/Users/zhangtiancheng/Documents/项目/新项目/openwork/packages/app/src/app/pages/proto-v1-ux.tsx,315,app_ui,ui_literal_or_error,P3,                placeholder=\"Choose a folder\"
/Users/zhangtiancheng/Documents/项目/新项目/openwork/packages/app/src/app/pages/proto-v1-ux.tsx,333,app_ui,jsx_text,P3,                <label class=\"text-[11px] font-bold uppercase tracking-wider text-gray-8\">Schedule</label>
/Users/zhangtiancheng/Documents/项目/新项目/openwork/packages/app/src/app/pages/proto-v1-ux.tsx,36,app_ui,ui_literal_or_error,P3,  { id: \"new-thread\"; label: \"New thread\"; icon: Plus };
/Users/zhangtiancheng/Documents/项目/新项目/openwork/packages/app/src/app/pages/proto-v1-ux.tsx,37,app_ui,ui_literal_or_error,P3,  { id: \"automations\"; label: \"Automations\"; icon: History };
/Users/zhangtiancheng/Documents/项目/新项目/openwork/packages/app/src/app/pages/proto-v1-ux.tsx,38,app_ui,ui_literal_or_error,P3,  { id: \"skills\"; label: \"Skills\"; icon: Zap };
/Users/zhangtiancheng/Documents/项目/新项目/openwork/packages/app/src/app/pages/proto-v1-ux.tsx,411,app_ui,jsx_text,P3,                  <div class=\"text-sm font-semibold text-gray-12\">OpenWork</div>
/Users/zhangtiancheng/Documents/项目/新项目/openwork/packages/app/src/app/pages/proto-v1-ux.tsx,412,app_ui,jsx_text,P3,                  <div class=\"text-xs text-gray-9\">Proto v1 UX</div>
/Users/zhangtiancheng/Documents/项目/新项目/openwork/packages/app/src/app/pages/proto-v1-ux.tsx,439,app_ui,jsx_text,P3,                <span>Threads</span>
/Users/zhangtiancheng/Documents/项目/新项目/openwork/packages/app/src/app/pages/proto-v1-ux.tsx,474,app_ui,ui_literal_or_error,P3,                        placeholder=\"Search skills\"
/Users/zhangtiancheng/Documents/项目/新项目/openwork/packages/app/src/app/pages/proto-v1-ux.tsx,489,app_ui,jsx_text,P3,                    <h2 class=\"text-2xl font-semibold text-gray-12\">Skills</h2>
/Users/zhangtiancheng/Documents/项目/新项目/openwork/packages/app/src/app/pages/proto-v1-ux.tsx,491,app_ui,jsx_text,P3,                      Give Codex superpowers. <span class=\"text-blue-9\">Learn more</span>
/Users/zhangtiancheng/Documents/项目/新项目/openwork/packages/app/src/app/pages/proto-v1-ux.tsx,496,app_ui,jsx_text,P3,                    <h3 class=\"mb-4 text-[11px] font-bold uppercase tracking-widest text-gray-8\">Installed</h3>
/Users/zhangtiancheng/Documents/项目/新项目/openwork/packages/app/src/app/pages/proto-v1-ux.tsx,51,app_ui,ui_literal_or_error,P3,  { icon: Calendar; description: \"Scan recent commits and flag riskier diffs.\"; color: \"text-red-9\" };
/Users/zhangtiancheng/Documents/项目/新项目/openwork/packages/app/src/app/pages/proto-v1-ux.tsx,512,app_ui,jsx_text,P3,                    <h3 class=\"mb-4 text-[11px] font-bold uppercase tracking-widest text-gray-8\">Recommended</h3>
/Users/zhangtiancheng/Documents/项目/新项目/openwork/packages/app/src/app/pages/proto-v1-ux.tsx,52,app_ui,ui_literal_or_error,P3,  { icon: BookOpen; description: \"Draft weekly release notes from merged PRs.\"; color: \"text-blue-9\" };
/Users/zhangtiancheng/Documents/项目/新项目/openwork/packages/app/src/app/pages/proto-v1-ux.tsx,53,app_ui,ui_literal_or_error,P3,  { icon: MessageSquare; description: \"Summarize yesterday's git activity by repo.\"; color: \"text-purple-9\" };
/Users/zhangtiancheng/Documents/项目/新项目/openwork/packages/app/src/app/pages/proto-v1-ux.tsx,54,app_ui,ui_literal_or_error,P3,  { icon: TrendingUp; description: \"Watch CI failures and surface recurring flakes.\"; color: \"text-indigo-9\" };
/Users/zhangtiancheng/Documents/项目/新项目/openwork/packages/app/src/app/pages/proto-v1-ux.tsx,55,app_ui,ui_literal_or_error,P3,  { icon: Trophy; description: \"Build a tiny classic game for a team demo.\"; color: \"text-amber-9\" };
/Users/zhangtiancheng/Documents/项目/新项目/openwork/packages/app/src/app/pages/proto-v1-ux.tsx,554,app_ui,jsx_text,P3,                      <h2 class=\"text-2xl font-semibold text-gray-12\">Automations</h2>
/Users/zhangtiancheng/Documents/项目/新项目/openwork/packages/app/src/app/pages/proto-v1-ux.tsx,559,app_ui,jsx_text,P3,                    <p class=\"mt-2 text-sm text-gray-9\">Automate work by setting up scheduled tasks.</p>
/Users/zhangtiancheng/Documents/项目/新项目/openwork/packages/app/src/app/pages/proto-v1-ux.tsx,56,app_ui,ui_literal_or_error,P3,  { icon: Brain; description: \"Suggest the next skills to install for this worker.\"; color: \"text-pink-9\" };
/Users/zhangtiancheng/Documents/项目/新项目/openwork/packages/app/src/app/pages/proto-v1-ux.tsx,581,app_ui,jsx_text,P3,                  <h1 class=\"text-sm font-semibold text-gray-12\">New thread</h1>
/Users/zhangtiancheng/Documents/项目/新项目/openwork/packages/app/src/app/pages/proto-v1-ux.tsx,604,app_ui,jsx_text,P3,                    <h2 class=\"text-3xl font-semibold text-gray-12\">Let's build</h2>
/Users/zhangtiancheng/Documents/项目/新项目/openwork/packages/app/src/app/pages/proto-v1-ux.tsx,62,app_ui,ui_literal_or_error,P3,    title: \"Remotion Best Practices\";
/Users/zhangtiancheng/Documents/项目/新项目/openwork/packages/app/src/app/pages/proto-v1-ux.tsx,627,app_ui,ui_literal_or_error,P3,                        placeholder=\"Ask Codex anything...\"
/Users/zhangtiancheng/Documents/项目/新项目/openwork/packages/app/src/app/pages/proto-v1-ux.tsx,63,app_ui,ui_literal_or_error,P3,    description: \"Best practices for Remotion - Video creation in React\";
/Users/zhangtiancheng/Documents/项目/新项目/openwork/packages/app/src/app/pages/proto-v1-ux.tsx,68,app_ui,ui_literal_or_error,P3,    title: \"Skill Creator\";
/Users/zhangtiancheng/Documents/项目/新项目/openwork/packages/app/src/app/pages/proto-v1-ux.tsx,69,app_ui,ui_literal_or_error,P3,    description: \"Create or update a skill\";
/Users/zhangtiancheng/Documents/项目/新项目/openwork/packages/app/src/app/pages/proto-v1-ux.tsx,73,app_ui,ui_literal_or_error,P3,    title: \"Skill Installer\";
/Users/zhangtiancheng/Documents/项目/新项目/openwork/packages/app/src/app/pages/proto-v1-ux.tsx,74,app_ui,ui_literal_or_error,P3,    description: \"Install curated skills from openai/skills or other repos\";
/Users/zhangtiancheng/Documents/项目/新项目/openwork/packages/app/src/app/pages/proto-v1-ux.tsx,81,app_ui,ui_literal_or_error,P3,    title: \"Atlas\";
/Users/zhangtiancheng/Documents/项目/新项目/openwork/packages/app/src/app/pages/proto-v1-ux.tsx,82,app_ui,ui_literal_or_error,P3,    description: \"Manage tabs in ChatGPT Atlas and access your...\";
